review_id,app_name,category,rating,review_date,user_id
1,QuizMaster,Education,5,2022-10-16,user_03574
2,BudgetPal,Finance,4,2022-07-23,user_04892
3,PriceAlert,Shopping,5,2022-05-07,user_04954
4,StreamNow,Entertainment,5,2022-04-06,user_07802
5,StepCounter,Health & Fitness,4,2022-01-05,user_06216
6,MoneyTrack,Finance,3,2022-03-23,user_00634
7,GameHub,Entertainment,3,2022-09-17,user_02514
8,BudgetPal,Finance,1,2022-06-08,user_02584
9,FileMaster,Tools,4,2022-03-31,user_00738
10,TaskFlow,Productivity,1,2022-08-11,user_00324
11,FlightAlert,Travel,4,2022-12-24,user_01393
12,VoiceLink,Communication,5,2022-11-18,user_05010
13,CleanUp Pro,Tools,4,2022-03-30,user_04631
14,FlightAlert,Travel,5,2022-08-24,user_04359
15,PriceAlert,Shopping,4,2022-05-13,user_07034
16,PriceAlert,Shopping,2,2022-08-15,user_06335
17,QuizMaster,Education,5,2022-02-10,user_04356
18,CryptoWatch,Finance,2,2022-02-03,user_05020
19,CryptoWatch,Finance,5,2022-06-05,user_00815
20,MusicBox,Entertainment,4,2022-04-25,user_02219
21,CleanUp Pro,Tools,1,2022-01-31,user_01775
22,Chatterbox,Social,5,2022-08-26,user_04564
23,FocusMate,Productivity,1,2022-04-03,user_06922
24,StepCounter,Health & Fitness,5,2022-06-09,user_00648
25,FitLogger,Health & Fitness,3,2022-06-11,user_03468
26,Circlez,Social,4,2022-10-06,user_01617
27,SnapFeed,Social,1,2022-12-20,user_01049
28,HotelFind,Travel,1,2022-01-19,user_06165
29,MealPlan,Health & Fitness,1,2022-09-15,user_03715
30,CryptoWatch,Finance,1,2022-07-29,user_01919
31,CleanUp Pro,Tools,3,2022-01-17,user_03697
32,PriceAlert,Shopping,5,2022-05-11,user_05543
33,BudgetPal,Finance,5,2022-07-28,user_05565
34,StepCounter,Health & Fitness,5,2022-02-27,user_00384
35,StudyBot,Education,4,2022-02-08,user_06038
36,QuickScan,Tools,1,2022-01-12,user_06177
37,FitLogger,Health & Fitness,1,2022-03-11,user_02545
38,DealFinder,Shopping,4,2022-06-13,user_02893
39,QuizMaster,Education,3,2022-08-14,user_05107
40,DealFinder,Shopping,3,2022-12-17,user_03902
41,DealFinder,Shopping,5,2022-04-17,user_05686
42,CartQuick,Shopping,5,2022-08-07,user_04512
43,FocusMate,Productivity,1,2022-12-22,user_04505
44,GroupChat,Communication,4,2022-01-08,user_01034
45,LearnFast,Education,1,2022-04-23,user_02827
