user_id,device_type,region,account_age_days
user_00001,Android budget,Southeast Asia,82
user_00002,Android flagship,North America,157
user_00003,Android budget,Western Europe,648
user_00004,Android flagship,Southeast Asia,827
user_00005,iOS,Southeast Asia,864
user_00006,Android mid-range,South Asia,54
user_00007,Android flagship,Latin America,225
user_00008,Android mid-range,South Asia,14
user_00009,Android budget,Eastern Europe,326
user_00010,Android budget,North America,66
user_00011,Android flagship,Western Europe,2
user_00012,Android budget,Latin America,345
user_00013,Android budget,North America,1144
user_00014,Android budget,Latin America,161
user_00015,Android mid-range,North America,110
user_00016,Android mid-range,North America,6
user_00017,Android budget,Eastern Europe,816
user_00018,Android mid-range,Eastern Europe,50
user_00019,Android budget,Eastern Europe,741
user_00020,Android flagship,Western Europe,895
user_00021,Android budget,North America,283
user_00022,Android flagship,North America,201
user_00023,Android budget,Southeast Asia,310
user_00024,Android budget,Western Europe,14
user_00025,iOS,Southeast Asia,858
user_00026,Android budget,North America,517
user_00027,Android flagship,Latin America,50
user_00028,Android flagship,North America,965
user_00029,iOS,North America,17
user_00030,Android flagship,Latin America,620
user_00031,Android mid-range,North America,54
user_00032,iOS,North America,898
user_00033,iOS,North America,926
user_00034,Android flagship,North America,79
user_00035,Android flagship,Eastern Europe,419
user_00036,Android flagship,North America,459
user_00037,iOS,Western Europe,19
user_00038,Android flagship,Western Europe,12
user_00039,Android flagship,Western Europe,32
user_00040,Android budget,South Asia,30
user_00041,iOS,Latin America,170
user_00042,iOS,Western Europe,24
user_00043,iOS,Western Europe,16
user_00044,Android flagship,North America,1108
user_00045,Android budget,Southeast Asia,393
user_00046,Android flagship,Latin America,4
user_00047,Android budget,South Asia,340
user_00048,Android budget,Eastern Europe,1144
user_00049,Android mid-range,Eastern Europe,607
user_00050,Android mid-range,North America,726
user_00051,Android mid-range,Southeast Asia,138
user_00052,Android flagship,North America,163
user_00053,Android flagship,Western Europe,346
user_00054,Android budget,South Asia,64
user_00055,Android flagship,North America,130
user_00056,Android budget,Latin America,32
user_00057,Android mid-range,Southeast Asia,2
user_00058,Android budget,Western Europe,807
user_00059,Android budget,North America,28
user_00060,Android flagship,Western Europe,6
user_00061,Android flagship,North America,1041
user_00062,Android budget,North America,15
user_00063,Android budget,North America,180
user_00064,Android budget,Western Europe,235
user_00065,Android mid-range,Latin America,465
user_00066,Android flagship,North America,519
user_00067,Android budget,Western Europe,3
user_00068,Android mid-range,Eastern Europe,335
user_00069,iOS,North America,341
user_00070,iOS,Latin America,797
user_00071,Android mid-range,Southeast Asia,269
user_00072,Android budget,Western Europe,10
user_00073,Android flagship,North America,424
user_00074,Android mid-range,Southeast Asia,197
